TIME_PERIOD,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
2021-02-19,1.4532297219014896,-1.9732297218825727,6.0909868692319336,-9.104480168047175,2.833790424752185,3.051363719708318
2021-02-22,1.3725217423073948,-1.9238834477555926,6.038590364967311,-9.158072152587858,2.3803306612028567,2.6921233724514453
2021-02-23,1.4438002333621605,-2.0031324297835074,6.001588241669932,-9.196733604957208,2.309822629973103,2.6549920883687426
2021-02-24,1.5211005144847214,-2.0722290526929945,5.961596899883408,-9.233678107708334,2.361943079005176,2.7023670581115153
2021-02-25,1.5073938112176188,-2.041393811233083,6.0457496028205675,-9.139111825049984,2.406505911841942,2.700810486006224
2021-02-26,1.402181120996711,-1.937181121008351,6.08464180108057,-9.09847203652053,2.2636400399567185,2.5595465082547664
2021-03-01,1.3677974043070518,-1.9017974043113515,5.981807106813274,-9.124685043604584,2.310265051005719,2.632199979113178
2021-03-02,1.3858742414250065,-1.9455375506363668,5.933790091041721,-9.175424675807754,2.145334097172995,2.5107139136320207
2021-03-03,1.4447513177583675,-2.0037687022195354,5.9029539777005,-9.202446795948156,2.1909395320216625,2.5571203769747672
2021-03-04,1.5165584608200962,-2.0858688387559496,5.889786106098688,-9.217639476818793,2.3705260582485783,2.755798772666932
2021-03-05,1.535319302643551,-2.096743254197523,5.91317744823235,-9.189365140415333,2.4616181741391245,2.807639180106682
2021-03-08,1.5164957538858201,-2.080172846944075,5.933694887264679,-9.16838915562348,2.470349273187563,2.8029462782813668
2021-03-09,1.4616789633523344,-2.015618785578158,5.985114147455127,-9.114139481065886,2.586521390327985,2.8796676317564445
2021-03-10,1.477761271768315,-2.0536241788442595,5.884090015612576,-9.21760083329338,2.2936116677895573,2.696904131243807
2021-03-11,1.4335120588611445,-1.982234467674699,6.006915243294809,-9.086215327258522,2.7107215971479723,2.979009863650287
2021-03-12,1.5424026414568384,-2.1074026414777776,5.826007651644814,-9.26846686524297,2.414739003136683,2.81743920377904
2021-03-15,1.5232613258627192,-2.0851406752904498,5.838928553406035,-9.253566111408885,2.4259605186862143,2.8003485081607113
2021-03-16,1.504662920514949,-2.06656427952668,5.908146589557515,-9.181533500056585,2.652796934097118,2.9685836855728582
2021-03-17,1.592457281624202,-2.168457281623147,5.758400521803729,-9.30045384551875,2.372526935157214,2.7845141521155012
2021-03-18,1.6158145793975875,-2.189574616518122,5.821625286782624,-9.229793328238495,2.5152326238301415,2.8591449207429673
2021-03-19,1.5933905243064477,-2.165259737415873,5.77230421238132,-9.282264480585276,2.412018913892332,2.776479130838991
2021-03-22,1.599555714120599,-2.180746771985419,5.750088866903662,-9.305792481102687,2.406102398097327,2.7931362379082616
2021-03-23,1.5539049409020356,-2.1349049408847383,5.7322719215170785,-9.32572504030363,2.347471297153383,2.7509616835442863
2021-03-24,1.5279261796746668,-2.102926179677911,5.745298669776643,-9.312734821672342,2.3686804925620155,2.755030795063314
2021-03-25,1.4928985437010205,-2.0778985437270796,5.751341420130665,-9.306191896377678,2.31360638992531,2.7294201033530605
2021-03-26,1.559394546265306,-2.1313945462698003,5.74587323767025,-9.308317592954447,2.4685932763234746,2.8578604281864575
2021-03-29,1.5291660183332068,-2.1210633392641016,5.743071639531711,-9.312399205381672,2.2489955133040658,2.669739230381647
2021-03-30,1.5525098954826186,-2.1514448924888914,5.7877084417069575,-9.262127502541857,2.235988345341721,2.6431377350729166
2021-03-31,1.5246800655358463,-2.1331652359873208,5.807233496640709,-9.242800912045217,2.2506481841034005,2.658957160909641
