"CURRENCY","TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"EUR",2015-10-21,2.80221851861467,-2.9242185186336,38.2026403218067,-42.9644300655639,1.66369977149726,1.74096033945944
"EUR",2015-10-22,2.7333611970215,-2.92836119701597,38.1903550254282,-42.9771916227694,1.6169261785266,1.70484102209776
"EUR",2015-10-23,2.70059962020738,-2.96859962021616,38.1968348443485,-42.9701201712487,1.5153113153833,1.6118141003505
"EUR",2015-10-26,2.73290302852886,-2.98026761922138,38.1843805925983,-42.9817283245146,1.60950804469782,1.70612426215445
"EUR",2015-10-27,2.68543431307492,-2.94943431307435,38.2153111870654,-42.9498913321209,1.62248504781168,1.72093420240326
"EUR",2015-10-28,2.68043995595977,-2.94354246264681,38.2157942865744,-42.9494078001664,1.60992825260775,1.70767565819764
"EUR",2015-10-29,2.69701647304128,-2.95401647303281,38.2217854143763,-42.9377817661686,1.59811023743619,1.69301824426739
"EUR",2015-10-30,2.73247312179566,-2.99047312179801,38.1958208139654,-42.9637658872021,1.57394601589795,1.67026492334183
"EUR",2015-11-02,2.81492478984818,-3.02892478986231,38.1402604200925,-43.0191780599974,1.62214147535058,1.71259211541369
"EUR",2015-11-03,2.83328619185945,-3.06728619185779,38.1284685740584,-43.030875595177,1.62375382738604,1.71803636394496
"EUR",2015-11-04,2.85466129650079,-3.08366129649983,38.0820855651092,-43.0772197294121,1.63071788023436,1.72650846122759
"EUR",2015-11-05,2.92857850881297,-3.16457850881435,38.0377220165077,-43.1153486797939,1.62653158849701,1.7240120917132
"EUR",2015-11-06,3.0411650103558,-3.27416501035467,37.9926003359486,-43.1452729318481,1.62829090891662,1.7262399894355
"EUR",2015-11-09,3.16461852087845,-3.38761852088869,37.864531408733,-43.2734432991225,1.64978576969819,1.75322987448007
"EUR",2015-11-10,3.14797389357037,-3.39397389352388,37.8199533032305,-43.3169771340017,1.6424442486554,1.75290628157669
"EUR",2015-11-11,3.10112435269692,-3.31189358277111,37.827022712077,-43.3094698632494,1.67426024877175,1.78042352248298
"EUR",2015-11-12,3.08903792857402,-3.29803792856889,37.8505090267368,-43.2861589841163,1.72414342617233,1.82718675467784
"EUR",2015-11-13,3.00558108229018,-3.2775810822968,37.9174250620161,-43.2186964464875,1.65805858164975,1.76915689620153
"EUR",2015-11-16,2.97170712198219,-3.24001481344121,37.9501049184132,-43.1859157678301,1.65179399550294,1.76037472506961
"EUR",2015-11-17,2.96252936887603,-3.23252936887945,37.9417370449882,-43.1942701078924,1.6413113284898,1.75041252962398
"EUR",2015-11-18,2.93635487061688,-3.19751970510229,37.9532983153348,-43.18262146469,1.65599238481464,1.76399963597645
"EUR",2015-11-19,2.84825840355527,-3.10625840353898,38.0325479483683,-43.1037274086315,1.67475933524324,1.77790114154197
"EUR",2015-11-20,2.77602246158265,-3.06502246157912,38.0868366852997,-43.0496298153749,1.6298124197338,1.73404747463878
"EUR",2015-11-23,2.82015257514795,-3.0911525751458,38.0474900860103,-43.0811338532641,1.62408251252628,1.72400071323735
"EUR",2015-11-24,2.83866448510869,-3.15166448511019,38.0506110269954,-43.0772601819252,1.60964084155079,1.71866387312768
"EUR",2015-11-25,2.80009377008505,-3.12109377018623,38.015363896824,-43.1122730648306,1.60659761112809,1.71825985507216
"EUR",2015-11-26,2.83667749908086,-3.1146774990805,37.9751610734922,-43.1612860042616,1.66283672620885,1.77018594731755
"EUR",2015-11-27,2.82370273984123,-3.12370273980889,37.9979647939989,-43.1384379294424,1.68438933106819,1.79572540863207
"EUR",2015-11-30,2.8622042411179,-3.14720424110874,37.9905737858178,-43.1442270274442,1.71867924755773,1.82734350376948
"EUR",2015-12-01,2.90886821212433,-3.20886821211177,37.9618381919189,-43.1729413632053,1.74606179251883,1.85667324814908
"EUR",2015-12-02,2.90595354764365,-3.18095354760266,37.9023555504025,-43.233599722825,1.73532780438488,1.84632362274986
"EUR",2015-12-03,3.02821692868426,-3.27421692869247,37.9759051207789,-43.144843661879,1.76629205589708,1.87128941727097
"EUR",2015-12-04,3.01385478128386,-3.22885478128808,38.0027943309875,-43.1108673529681,1.7007690342867,1.79776517771085
"EUR",2015-12-07,2.94773084709499,-3.18473084710731,38.0197403960308,-43.092130333397,1.70294255386691,1.80665452008505
"EUR",2015-12-08,2.86041225155363,-3.10041225152476,38.0812196039319,-43.030827822892,1.68721050069206,1.78699373571139
"EUR",2015-12-09,2.80040249057762,-3.06640249057581,38.1184572976804,-42.9935108068571,1.60761031123346,1.7090089036588
"EUR",2015-12-10,2.9309088490808,-3.16570169780107,37.9855831637392,-43.1270061358662,1.66681516335857,1.77441711649979
"EUR",2015-12-11,2.88690614858812,-3.12290614858449,38.0151940937878,-43.0974028986085,1.67914089017736,1.7865164437751
"EUR",2015-12-14,2.91380237469763,-3.19480237466645,38.0458779866776,-43.0508659725972,1.61545919695649,1.72463909577444
"EUR",2015-12-15,2.95850658098804,-3.2445065809713,38.0298206766562,-43.0489654337073,1.57107182952012,1.67655238348642
"EUR",2015-12-16,2.95532234950451,-3.23697875802526,38.0159081067045,-43.0629099073956,1.56059033914789,1.66471832752724
"EUR",2015-12-17,2.90870154912801,-3.17670154911506,38.0476302160711,-43.0319759413827,1.6123427502925,1.71222759423075
"EUR",2015-12-18,2.82384032159543,-3.15984032160687,38.117139032673,-42.9617355196905,1.55010621620646,1.65823482362767
"EUR",2015-12-21,2.84129205194046,-3.16208224904781,38.0982382356384,-42.980671218917,1.55580147871859,1.66239960828927
"EUR",2015-12-22,2.88982561382132,-3.19682561382389,38.0744574294858,-43.0040123031962,1.59005557156293,1.69258064554821
"EUR",2015-12-23,2.97035901659109,-3.29035901658856,38.0345320859505,-43.0436141444659,1.60631213982478,1.70833434749598
"EUR",2015-12-28,2.93349094306127,-3.27649094305791,38.0413584722364,-43.0305457825318,1.57187220315609,1.67615012706657
"EUR",2015-12-29,2.97890399322773,-3.33590399322793,38.0105458176774,-43.0612922071122,1.55584579673012,1.66202763253135
"EUR",2015-12-30,3.0270306293534,-3.38103062934266,37.9604364218043,-43.1112081195992,1.59036684506501,1.69930379572184
"EUR",2016-01-04,2.94172178050285,-3.30772178050683,38.0060960243248,-43.0629313470457,1.6065163494253,1.71445500227028
