TIME_PERIOD,Portfolio,Weight,Portfolio strategy,Historical return,Historical variance
2016-01-31,"{""MOM"",""EU""}",0.1479630145534097,Global Minimum Variance portfolio,0.6566968600978341,0.8508510657529259
2016-02-29,"{""MOM"",""EU""}",0.1799908914075738,Global Minimum Variance portfolio,0.6399269649841507,0.7465345465424975
2016-03-31,"{""MOM"",""EU""}",0.20614891870895838,Global Minimum Variance portfolio,0.6797023550958936,0.7738657773531625
2016-04-30,"{""MOM"",""EU""}",0.17895003583107852,Global Minimum Variance portfolio,0.6857254527990119,0.7579826438560573
2016-05-31,"{""MOM"",""EU""}",0.15953967603872782,Global Minimum Variance portfolio,0.6801637152546318,0.7574702765667329
2016-06-30,"{""MOM"",""EU""}",0.20360522579703091,Global Minimum Variance portfolio,0.669717350856038,0.8126565598741666
2016-07-31,"{""MOM"",""EU""}",0.21444899479712484,Global Minimum Variance portfolio,0.6986847443359683,0.8437383427021774
2016-08-31,"{""MOM"",""EU""}",0.2180500764006059,Global Minimum Variance portfolio,0.7098991122917846,0.844426450324349
2016-09-30,"{""MOM"",""EU""}",0.21792982853979853,Global Minimum Variance portfolio,0.7110372265757641,0.8493174767012216
2016-10-31,"{""MOM"",""EU""}",0.21210662744829523,Global Minimum Variance portfolio,0.6711878525138283,0.8711603309865252
2016-11-30,"{""MOM"",""EU""}",0.2403260897764211,Global Minimum Variance portfolio,0.6480252939056284,0.8749125826380403
2016-12-31,"{""MOM"",""EU""}",0.23498662086565383,Global Minimum Variance portfolio,0.620623513697782,0.8776904288216826
2017-01-31,"{""MOM"",""EU""}",0.19486967842146966,Global Minimum Variance portfolio,0.5795873382375687,0.8384432032625804
2017-02-28,"{""MOM"",""EU""}",0.20134508212303753,Global Minimum Variance portfolio,0.5584471994713043,0.8298415038031882
2017-03-31,"{""MOM"",""EU""}",0.21613011173548635,Global Minimum Variance portfolio,0.5218061517577316,0.857376161098786
2017-04-30,"{""MOM"",""EU""}",0.23897535429612252,Global Minimum Variance portfolio,0.627759496044407,0.7365945754019878
2017-05-31,"{""MOM"",""EU""}",0.2352414502009829,Global Minimum Variance portfolio,0.6101406344417386,0.7415412357532456
2017-06-30,"{""MOM"",""EU""}",0.23668515274903393,Global Minimum Variance portfolio,0.6249550014600377,0.7447594543678193
2017-07-31,"{""MOM"",""EU""}",0.25228930846342007,Global Minimum Variance portfolio,0.6700404930859538,0.7042081550280629
2017-08-31,"{""MOM"",""EU""}",0.24837712152766675,Global Minimum Variance portfolio,0.6555667701448716,0.7102798204551214
2017-09-30,"{""MOM"",""EU""}",0.2217768856093306,Global Minimum Variance portfolio,0.6535364731036803,0.6890581900723654
2017-10-31,"{""MOM"",""EU""}",0.2152365846554613,Global Minimum Variance portfolio,0.6790382042573353,0.6480191735962391
2017-11-30,"{""MOM"",""EU""}",0.22382140705924403,Global Minimum Variance portfolio,0.6968348281057033,0.6246092461005442
