TIME_PERIOD,Portfolio,Region,Return_EUR,Return_RF_EU
2021-08-31,Market_Return,EU,1.9201090239469367,-0.0519775867978256
2021-08-31,Small Cap,EU,3.42339192505282,-0.0519775867978256
2021-08-31,Tech Stocks,US,5.385168159540299,-0.0519775867978256
2021-08-31,Tech Stocks,EU,1.1046493155315318,-0.0519775867978256
2021-08-31,Market_Return,US,3.364656994754498,-0.0519775867978256
2021-08-31,BIG HiPRIOR,EU,1.1046493155315318,-0.0519775867978256
2021-08-31,BIG LoPRIOR,EU,2.2501402737873946,-0.0519775867978256
2021-08-31,ME1 PRIOR2,EU,4.229629034983944,-0.0519775867978256
2021-08-31,ME2 PRIOR2,EU,1.8080209565658265,-0.0519775867978256
2021-08-31,SMALL HiPRIOR,EU,3.606642724353563,-0.0519775867978256
2021-08-31,SMALL LoPRIOR,EU,2.340573770491801,-0.0519775867978256
2021-08-31,BIG HiPRIOR,US,5.385168159540299,-0.0519775867978256
2021-08-31,BIG LoPRIOR,US,2.340573770491801,-0.0519775867978256
2021-08-31,ME1 PRIOR2,US,2.903271083319254,-0.0519775867978256
2021-08-31,ME2 PRIOR2,US,3.81765421666384,-0.0519775867978256
2021-08-31,SMALL HiPRIOR,US,3.4659683961466925,-0.0519775867978256
2021-08-31,SMALL LoPRIOR,US,1.2051309785364168,-0.0519775867978256
2021-09-30,RF,EU,-0.05587379063110787,-0.05587379063110787
2021-09-30,RF,US,2.202262716987647,-0.05587379063110787
2021-09-30,Market_Return,US,-2.303911366219401,-0.05587379063110787
2021-09-30,Small Cap,EU,-2.8322269582769763,-0.05587379063110787
2021-09-30,Tech Stocks,EU,-3.5926055790655482,-0.05587379063110787
2021-09-30,Tech Stocks,US,-1.2112928577597444,-0.05587379063110787
2021-09-30,Market_Return,EU,-2.86413035707114,-0.05587379063110787
2021-09-30,Small Cap,US,-0.4161941788903321,-0.05587379063110787
2021-09-30,BIG HiPRIOR,EU,-3.5926055790655482,-0.05587379063110787
2021-09-30,BIG LoPRIOR,EU,-4.430664133344848,-0.05587379063110787
2021-09-30,ME1 PRIOR2,EU,-2.212875032386208,-0.05587379063110787
2021-09-30,ME2 PRIOR2,EU,-1.2317333103031416,-0.05587379063110787
2021-09-30,SMALL HiPRIOR,EU,-4.011634856205205,-0.05587379063110787
2021-09-30,SMALL LoPRIOR,EU,-1.9675896018654413,-0.05587379063110787
2021-09-30,BIG HiPRIOR,US,-1.2112928577597444,-0.05587379063110787
2021-09-30,BIG LoPRIOR,US,-2.999832455307029,-0.05587379063110787
2021-09-30,ME1 PRIOR2,US,-0.6287399602729096,-0.05587379063110787
2021-09-30,ME2 PRIOR2,US,-2.1822143535711263,-0.05587379063110787
2021-09-30,SMALL HiPRIOR,US,0.21953882027808902,-0.05587379063110787
2021-09-30,SMALL LoPRIOR,US,-0.8229242594351831,-0.05587379063110787
2021-10-31,RF,EU,-0.052578017913108566,-0.052578017913108566
2021-10-31,RF,US,-0.5667668527265022,-0.052578017913108566
2021-10-31,Small Cap,US,2.5397477450630697,-0.052578017913108566
2021-10-31,Market_Return,EU,3.6767512973301377,-0.052578017913108566
2021-10-31,Small Cap,EU,2.001846495599907,-0.052578017913108566
2021-10-31,Market_Return,US,6.0856553439969625,-0.052578017913108566
2021-10-31,Tech Stocks,EU,4.822514383855719,-0.052578017913108566
