TIME_PERIOD,Value,Portfolio name
2011-05-31,95.2051079248141,Risk Parity
2011-06-30,93.15943571069796,Risk Parity
2011-07-31,91.62123036990134,Risk Parity
2011-08-31,82.49177147004178,Risk Parity
2011-09-30,78.4708572384096,Risk Parity
2011-10-31,84.2118087025556,Risk Parity
2011-11-30,85.70848434330837,Risk Parity
2011-12-31,88.33237001930966,Risk Parity
2012-01-31,91.20614639858758,Risk Parity
2012-02-29,94.14650283108766,Risk Parity
2012-03-31,96.6925684799602,Risk Parity
2012-04-30,96.87635548978608,Risk Parity
2012-05-31,94.4147144744806,Risk Parity
2012-06-30,97.50452436669283,Risk Parity
2012-07-31,100.39722974072389,Risk Parity
2012-08-31,101.02212592033393,Risk Parity
2012-09-30,101.86557774524994,Risk Parity
2012-10-31,101.09350402828306,Risk Parity
2012-11-30,102.59837913453214,Risk Parity
2012-12-31,103.80109069203714,Risk Parity
2013-01-31,106.92183425232355,Risk Parity
2013-02-28,110.27171417641414,Risk Parity
2013-03-31,115.42236500828947,Risk Parity
2013-04-30,115.77162597955461,Risk Parity
2013-05-31,119.19236325135344,Risk Parity
2013-06-30,115.27739408826518,Risk Parity
2013-07-31,121.7269589128878,Risk Parity
2013-08-31,120.18132403477473,Risk Parity
2013-09-30,125.09455675497992,Risk Parity
2013-10-31,129.00386232819105,Risk Parity
2013-11-30,132.98121969034017,Risk Parity
2013-12-31,134.8720708739413,Risk Parity
2014-01-31,134.85175870050696,Risk Parity
2014-02-28,140.42746479733694,Risk Parity
2014-03-31,139.54950882744612,Risk Parity
2014-04-30,137.83397192986754,Risk Parity
2014-05-31,142.0650134693522,Risk Parity
2014-06-30,144.08141339691667,Risk Parity
2014-07-31,141.85781625124915,Risk Parity
2014-08-31,146.9990374969059,Risk Parity
2014-09-30,148.61945037820132,Risk Parity
2014-10-31,149.4059231890701,Risk Parity
2014-11-30,152.54520775032626,Risk Parity
2014-12-31,154.79154950810909,Risk Parity
2015-01-31,163.488165016765,Risk Parity
2015-02-28,174.58451699258913,Risk Parity
2015-03-31,179.91851822502548,Risk Parity
2015-04-30,176.1611144915332,Risk Parity
2015-05-31,182.36866332744094,Risk Parity
2015-06-30,176.27234630537802,Risk Parity
2015-07-31,182.98209567981922,Risk Parity
2015-08-31,169.28034612897366,Risk Parity
2015-09-30,162.97605942933828,Risk Parity
2015-10-31,175.32119530124348,Risk Parity
2015-11-30,182.81184992264116,Risk Parity
2015-12-31,175.27363158322575,Risk Parity
2016-01-31,162.86248211347547,Risk Parity
2016-02-29,161.78187053789947,Risk Parity
2016-03-31,166.17274043485799,Risk Parity
2016-04-30,168.4373607225943,Risk Parity
2016-05-31,174.05953515081433,Risk Parity
2016-06-30,170.69259872149686,Risk Parity
2016-07-31,178.25203654066235,Risk Parity
2016-08-31,179.17183075857142,Risk Parity
2016-09-30,180.95752765445275,Risk Parity
2016-10-31,178.5323432559226,Risk Parity
2016-11-30,186.52347244841542,Risk Parity
2016-12-31,193.77863784527668,Risk Parity
2017-01-31,195.1882528081289,Risk Parity
2017-02-28,200.80341224378495,Risk Parity
2017-03-31,203.36701216733587,Risk Parity
2017-04-30,205.4688351835397,Risk Parity
2017-05-31,205.6763327497683,Risk Parity
2017-06-30,203.8941266599718,Risk Parity
2017-07-31,205.11036975271261,Risk Parity
2017-08-31,203.84948963472132,Risk Parity
2017-09-30,210.54271613555574,Risk Parity
2017-10-31,216.70674436074364,Risk Parity
2017-11-30,215.72541499220665,Risk Parity
2017-12-31,215.53594061551476,Risk Parity
2018-01-31,220.14733900737673,Risk Parity
2018-02-28,215.70359677436957,Risk Parity
2018-03-31,211.05384343098245,Risk Parity
2018-04-30,218.9731652034753,Risk Parity
2018-05-31,228.34181170272004,Risk Parity
2018-06-30,227.97687321144272,Risk Parity
2018-07-31,231.34602615944584,Risk Parity
2018-08-31,236.39511904864705,Risk Parity
2018-09-30,238.12440203479696,Risk Parity
2018-10-31,221.3123551727083,Risk Parity
2018-11-30,218.61062914612978,Risk Parity
2018-12-31,202.35921342946287,Risk Parity
2019-01-31,216.74084924449264,Risk Parity
